prompt_index,input_tokens,output_tokens,success,ttft_ms,tpot_ms,latency_ms,start_time
0,1227,242,True,212.389,81.726,19908.398,72245.957
1,1910,199,True,354.041,90.175,18208.61,72246.223
2,1273,40,True,257.165,98.43,4095.95,72246.642
3,3151,384,True,566.224,61.875,24264.464,72246.951
4,2715,364,True,1030.307,61.268,23270.46,72247.214
5,1648,382,True,846.228,42.483,17032.308,72247.398
6,1931,426,True,1148.801,55.787,24858.387,72247.745
7,2007,202,True,956.301,79.104,16856.17,72247.938
8,20,305,True,243.269,64.205,19761.684,72248.68
9,1116,63,True,223.302,71.688,4667.941,72249.786
10,2075,144,True,432.37,74.24,11048.66,72249.948
11,1222,374,True,235.083,57.102,21534.113,72250.472
12,26,660,True,43.097,45.629,30112.817,72250.723
13,54,550,True,33.531,48.868,26861.968,72251.004
14,2223,730,True,415.996,35.753,26479.915,72251.87
15,1447,50,True,845.154,57.782,3676.46,72251.895
16,809,574,True,812.651,46.501,27457.445,72251.927
17,344,206,True,805.354,71.468,15456.205,72251.935
18,1903,209,True,536.762,69.2,14930.433,72252.532
19,2135,489,True,418.689,47.9,23793.733,72253.035
20,1826,631,True,345.614,43.225,27577.361,72253.716
21,1300,410,True,278.464,39.054,16251.602,72254.998
22,2044,387,True,406.431,49.931,19679.981,72255.534
23,698,91,True,331.82,99.706,9305.382,72255.741
24,15,1268,True,50.768,25.424,32263.438,72256.248
25,77,1,True,41.116,,41.134,72256.291
26,833,23,True,188.651,35.068,960.151,72256.633
27,62,481,True,165.998,45.225,21873.997,72256.685
28,1840,296,True,324.961,52.796,15899.912,72257.65
29,868,380,True,248.764,37.012,14276.432,72257.898
30,3835,503,True,731.72,41.995,21813.115,72258.078
31,18,82,True,997.51,86.069,7969.096,72258.181
32,1944,133,True,500.491,66.499,9278.382,72258.678
33,380,195,True,752.201,54.118,11251.172,72258.883
34,1878,119,True,470.988,66.33,8297.894,72259.164
35,322,32,True,464.318,152.307,5185.844,72259.171
36,1704,716,True,453.978,18.616,13764.679,72259.492
37,1110,1016,True,337.358,16.65,17236.804,72259.808
38,2177,472,True,402.058,39.158,18845.39,72260.13
39,392,89,True,103.207,65.612,5877.073,72261.09
40,842,1,True,197.506,,197.515,72261.472
41,1847,232,True,373.138,44.499,10652.4,72261.622
42,2229,29,True,579.505,99.862,3375.635,72261.815
43,568,296,True,653.109,38.986,12153.994,72262.214
44,2139,101,True,631.026,48.439,5474.915,72262.236
45,195,204,True,314.923,23.956,5177.941,72262.604
46,1844,923,True,1308.269,30.421,29356.858,72262.974
47,2720,577,True,1187.714,32.208,19739.612,72263.054
48,1516,944,True,1141.268,30.386,29795.411,72263.101
49,1326,267,True,1014.022,34.753,10258.197,72263.228
