prompt_index,input_tokens,output_tokens,success,ttft_ms,tpot_ms,latency_ms,start_time
0,1227,242,True,215.786,47.331,11622.608,670203.4
1,1910,199,True,344.267,45.806,9413.81,670203.668
2,1273,40,True,263.365,74.529,3170.013,670204.087
3,3151,384,True,568.449,44.556,17633.222,670204.396
4,2715,364,True,1054.266,40.729,15838.73,670204.659
5,1648,382,True,869.98,19.074,8137.314,670204.843
6,1931,426,True,860.094,42.205,18797.388,670205.19
7,2007,202,True,2246.131,43.322,10953.948,670205.383
8,20,305,True,1504.319,43.792,14816.992,670206.125
9,1116,63,True,6391.663,38.253,8763.343,670207.231
10,2075,144,True,6230.182,38.555,11743.565,670207.392
11,1222,374,True,7349.221,42.339,23141.523,670207.916
12,26,660,True,7097.628,41.603,34514.115,670208.167
13,54,550,True,6817.117,41.095,29378.46,670208.448
14,2223,539,True,7426.399,40.471,29200.039,670209.314
15,1447,50,True,10196.403,42.15,12261.771,670209.339
16,809,574,True,10165.735,41.301,33831.296,670209.37
17,344,206,True,11523.696,40.921,19912.425,670209.378
18,1903,209,True,10926.768,40.66,19383.956,670209.975
19,2135,489,True,11513.616,38.589,30345.004,670210.477
20,1826,631,True,11407.224,39.996,36604.662,670211.159
21,1300,275,True,10124.823,38.947,20796.288,670212.441
22,2044,387,True,11384.455,46.121,29186.981,670212.977
23,698,91,True,16578.959,38.606,20053.516,670213.184
24,15,1268,True,16072.53,27.648,51102.78,670213.69
25,77,1,True,16030.19,,16030.2,670213.733
26,833,23,True,15689.129,35.041,16460.038,670214.074
27,62,481,True,15636.852,42.997,36275.617,670214.126
28,1840,296,True,16286.408,43.668,29168.331,670215.092
29,868,380,True,18163.355,27.083,28427.672,670215.338
30,3835,503,True,25984.547,43.617,47880.355,670215.517
31,18,82,True,25881.454,50.677,29986.272,670215.62
32,1944,133,True,26456.509,44.557,32338.095,670216.117
33,380,195,True,26252.076,49.023,35762.624,670216.322
34,1878,119,True,26989.072,46.581,32485.621,670216.603
35,322,32,True,26982.521,50.489,28547.671,670216.61
36,1704,716,True,27150.44,17.332,39543.055,670216.932
37,1110,1016,True,27214.637,16.516,43977.906,670217.248
38,2177,472,True,30642.622,40.113,49535.679,670217.568
39,392,89,True,29681.395,52.423,34294.601,670218.529
40,842,1,True,29704.049,,29704.061,670218.911
41,1847,232,True,29885.858,40.341,39204.586,670219.061
42,2229,29,True,30241.559,38.868,31329.872,670219.254
43,568,296,True,30859.121,39.78,42594.194,670219.654
44,2139,101,True,31298.715,37.339,35032.648,670219.675
45,195,204,True,32195.236,18.694,35990.03,670220.042
46,1844,923,True,34661.193,33.861,65880.832,670220.413
47,2720,577,True,38258.129,33.876,57770.758,670220.493
48,1516,944,True,40958.887,32.556,71659.307,670220.54
49,1326,267,True,41826.657,32.947,50590.433,670220.667
